"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area name,Council area,All ages,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,
,,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006995,Fyvie-Rothie - 05,Aberdeenshire,910,,15,7,14,14,18,10,17,16,20,14,9,10,9,11,11,7,10,13,8,7,16,4,6,4,15,7,8,14,8,12,13,8,9,17,11,16,10,18,8,10,11,12,9,12,15,9,7,13,21,21,15,21,17,16,20,14,13,12,18,12,5,6,16,9,6,11,11,10,5,10,6,10,4,5,5,5,8,1,2,5,4,3,6,1,2,3,2,2,1,1,3
S01006996,Fyvie-Rothie - 06,Aberdeenshire,894,,19,8,17,10,7,13,18,12,16,16,5,16,19,16,13,5,8,6,9,7,7,8,13,10,20,11,7,18,5,11,18,7,12,10,9,10,11,8,12,14,16,15,16,11,14,12,9,10,22,11,18,16,12,27,12,17,13,13,6,5,8,12,3,7,5,10,10,6,6,6,4,10,6,6,6,1,5,1,5,2,9,4,2,4,2,3,1,1,1,2,10
S01006997,"Insch, Oyne and Ythanwells - 01",Aberdeenshire,860,,9,17,2,12,13,13,22,13,18,9,13,13,6,12,8,19,6,9,17,10,9,7,9,10,9,5,5,18,4,6,11,1,5,12,8,12,8,16,11,9,14,4,8,14,12,19,25,20,14,15,18,13,18,15,15,14,6,14,14,7,16,15,17,12,10,3,15,2,6,6,12,6,3,1,3,5,5,7,4,3,3,1,3,0,0,0,0,1,1,3,2
S01006998,"Insch, Oyne and Ythanwells - 02",Aberdeenshire,1332,,16,23,27,25,17,24,16,13,17,21,11,17,13,9,13,14,14,7,16,3,13,9,4,14,12,9,14,10,13,19,12,18,17,30,32,26,23,20,17,14,22,20,12,20,20,26,16,20,20,16,23,24,15,16,21,21,22,17,20,18,20,20,11,17,19,14,18,14,13,18,18,17,5,9,6,16,10,7,4,5,2,3,5,3,4,1,5,2,7,3,5
S01006999,"Insch, Oyne and Ythanwells - 03",Aberdeenshire,836,,9,6,9,8,9,5,6,5,13,7,11,6,15,11,8,8,9,12,6,6,13,2,9,6,7,9,6,12,8,8,11,9,7,11,5,6,5,6,11,12,8,6,7,7,10,17,9,11,11,20,17,13,16,31,14,15,12,15,10,16,13,16,20,17,12,11,8,3,15,7,10,8,12,7,1,6,6,16,6,5,3,6,3,2,6,4,3,2,7,1,3
S01007000,"Insch, Oyne and Ythanwells - 04",Aberdeenshire,1005,,11,14,10,12,20,17,10,16,17,18,14,14,7,9,8,12,9,4,9,5,10,11,5,4,7,20,9,11,9,11,12,12,10,8,10,22,3,19,27,11,13,15,9,9,18,14,22,7,16,16,5,15,17,16,12,10,13,8,8,10,10,10,12,9,12,13,16,15,9,24,7,19,14,11,6,8,9,8,9,12,7,8,8,9,5,3,2,3,0,1,6
S01007001,"Insch, Oyne and Ythanwells - 05",Aberdeenshire,1054,,14,10,13,13,16,13,19,16,11,22,14,13,6,12,12,7,4,8,13,12,12,12,9,9,12,6,8,12,14,6,7,7,9,11,7,18,20,10,3,12,17,9,17,13,14,19,14,16,15,12,22,13,16,10,16,13,19,9,8,14,16,13,13,7,9,6,9,11,13,15,8,14,12,9,15,13,3,12,9,10,7,14,8,8,11,6,1,8,9,7,20
S01007002,Clashindarroch - 01,Aberdeenshire,754,,6,13,7,7,12,8,12,18,5,11,11,8,12,13,12,11,16,5,13,7,16,1,7,4,4,11,7,7,1,5,6,12,8,10,13,11,14,12,5,7,13,12,9,8,9,10,9,10,11,16,15,14,6,11,11,11,8,9,10,10,5,11,5,5,4,3,2,5,5,9,7,2,4,2,8,2,2,1,6,6,7,5,4,1,7,5,5,1,7,6,32
S01007003,Clashindarroch - 02,Aberdeenshire,546,,2,5,6,9,4,9,2,10,9,5,3,6,9,7,6,8,10,3,2,6,5,6,1,1,8,7,9,4,4,6,7,8,10,11,12,6,10,3,7,8,6,6,5,4,6,10,8,14,5,14,14,14,6,4,11,19,4,6,5,6,6,7,8,1,1,7,6,9,5,10,7,9,2,3,2,4,6,2,2,3,2,3,1,2,8,1,1,3,1,0,3
S01007004,Clashindarroch - 03,Aberdeenshire,790,,12,5,11,11,9,6,5,10,10,10,14,10,14,10,9,10,11,5,7,6,7,6,6,13,4,5,3,7,9,5,15,10,14,5,11,8,9,14,3,7,10,13,4,9,11,11,10,19,13,9,12,18,7,13,15,15,11,20,13,14,14,9,25,7,10,5,8,9,18,19,9,9,2,5,3,1,6,8,2,5,4,1,4,2,5,2,0,2,1,2,0
S01007005,Clashindarroch - 04,Aberdeenshire,886,,11,9,6,7,3,7,7,7,12,7,12,11,8,11,11,13,8,16,6,6,10,3,8,9,7,13,9,8,7,2,12,6,5,14,0,6,3,5,8,7,11,8,15,6,12,21,16,19,11,14,16,15,18,15,16,29,13,10,20,17,22,12,15,19,16,16,18,20,7,12,12,7,10,15,12,6,7,4,4,5,4,3,2,4,4,3,0,1,0,0,4
S01007006,Clashindarroch - 05,Aberdeenshire,875,,10,13,9,7,4,8,9,13,9,10,8,11,7,7,7,7,8,11,15,11,9,9,3,10,4,6,6,6,16,5,7,9,9,3,7,10,12,12,12,6,8,14,9,7,15,11,11,16,18,18,9,17,22,17,18,17,8,9,16,11,11,13,7,7,12,10,13,19,6,12,18,20,10,18,7,14,6,5,5,7,6,0,6,4,2,5,5,1,2,1,7
S01007007,Clashindarroch - 06,Aberdeenshire,807,,7,6,6,2,9,12,5,10,10,11,14,6,9,9,7,6,10,9,9,6,5,3,8,10,15,5,11,8,7,5,3,7,10,8,9,8,10,2,9,3,6,10,6,8,7,11,6,14,16,9,17,16,24,16,21,13,13,18,18,15,10,18,17,12,11,11,15,9,17,13,11,9,9,11,13,8,3,3,11,3,1,7,2,1,2,2,0,2,0,1,2
S01007008,Huntly - 01,Aberdeenshire,1004,,11,9,8,11,11,16,16,12,20,11,9,5,6,6,13,9,13,10,3,9,14,10,12,8,17,12,4,13,3,1,11,6,7,5,10,17,20,11,13,8,8,10,3,11,9,11,10,9,12,22,14,15,12,18,15,16,14,17,15,16,18,16,13,15,16,14,15,16,13,4,15,9,3,9,11,13,2,11,8,14,12,12,14,6,5,12,8,6,8,4,15
S01007009,Huntly - 02,Aberdeenshire,1003,,8,11,7,9,11,9,8,4,16,12,12,7,13,11,9,11,9,11,5,16,6,10,6,11,9,11,9,10,6,10,8,11,14,7,8,13,12,17,21,8,15,12,10,4,8,20,16,10,12,13,7,11,16,14,11,23,25,12,19,14,14,16,15,14,19,8,13,15,13,18,24,17,20,5,13,12,13,7,9,6,6,9,7,8,6,2,1,3,4,0,8
S01007010,Huntly - 03,Aberdeenshire,766,,4,5,3,5,8,6,7,6,10,4,7,7,4,6,7,9,10,8,9,4,5,5,6,5,2,5,2,2,1,4,2,13,8,2,8,5,11,6,9,4,6,7,10,2,11,10,12,11,4,10,8,14,8,8,3,8,13,7,14,15,15,13,21,9,9,17,18,12,10,14,12,7,9,9,12,6,11,9,8,15,9,11,4,8,8,10,6,9,6,4,40
S01007011,Huntly - 04,Aberdeenshire,769,,6,8,7,8,3,5,6,5,7,7,7,5,5,7,3,8,8,11,11,10,16,4,9,7,8,9,11,16,14,10,15,12,6,1,8,4,6,13,9,12,1,13,12,8,11,13,17,13,5,8,15,10,8,8,8,7,8,13,10,12,15,15,5,5,13,12,9,9,11,14,8,10,10,6,7,7,5,9,6,6,8,6,6,10,2,5,2,3,3,7,8
S01007012,Huntly - 05,Aberdeenshire,672,,9,7,13,8,12,8,9,7,14,13,10,3,4,5,8,6,5,5,8,9,5,12,6,15,8,13,8,10,10,12,8,7,2,8,8,1,7,11,3,3,5,6,7,5,6,13,10,10,7,9,11,14,13,7,8,12,11,4,10,5,6,3,5,6,8,6,9,8,14,8,7,9,3,10,7,6,7,7,4,4,5,8,2,5,5,2,6,0,2,3,4
S01007013,Auchterless and Monquhitter - 01,Aberdeenshire,567,,10,4,10,4,6,4,4,10,10,2,6,7,7,3,12,10,9,6,5,7,9,5,2,10,2,9,3,5,2,2,3,3,5,4,2,7,6,5,5,12,2,10,7,4,6,5,9,4,7,10,11,9,15,16,11,9,0,11,11,8,9,4,5,14,12,6,10,13,8,6,6,11,11,6,6,4,3,3,4,5,1,3,0,7,4,1,0,0,0,0,3
S01007014,Auchterless and Monquhitter - 02,Aberdeenshire,1076,,12,9,14,9,17,21,18,6,17,18,19,14,13,4,10,12,12,9,12,13,11,12,16,9,7,14,6,9,10,15,13,13,13,19,19,17,10,18,18,11,18,10,16,16,9,18,15,21,17,13,17,12,14,22,12,18,20,22,13,14,13,19,15,11,11,9,7,17,15,27,13,18,10,6,13,2,4,5,4,0,2,3,1,2,3,0,5,1,3,1,0
S01007015,Auchterless and Monquhitter - 03,Aberdeenshire,666,,5,6,7,3,6,9,8,9,14,11,10,12,15,12,11,8,8,18,4,9,6,10,7,4,5,1,8,9,5,5,2,5,5,11,11,8,12,6,10,11,5,5,9,4,6,14,13,8,11,20,12,11,7,14,10,8,12,11,13,12,12,10,12,9,6,10,2,7,4,3,5,4,5,4,4,2,6,5,4,3,5,1,4,1,0,0,2,2,1,1,1
S01007016,Auchterless and Monquhitter - 04,Aberdeenshire,563,,2,3,5,9,6,8,6,8,9,6,5,4,3,9,4,4,5,1,8,2,12,5,6,10,3,10,4,8,2,7,3,3,3,4,4,5,6,5,5,3,6,10,12,13,8,8,16,7,7,13,14,16,9,16,11,13,9,11,12,11,7,5,9,10,15,3,2,5,4,9,5,7,4,5,7,5,3,3,8,1,6,0,0,0,0,0,0,1,0,0,2
S01007017,Turriff - 01,Aberdeenshire,925,,4,11,8,7,3,13,9,7,12,15,8,13,15,7,12,10,6,7,11,9,13,4,11,12,10,19,14,10,8,3,13,9,22,11,8,9,11,17,13,11,15,11,10,14,10,12,15,7,12,11,16,22,12,10,14,8,5,9,13,10,14,11,5,15,10,9,16,15,9,11,14,7,14,5,11,9,10,8,4,9,2,6,6,7,5,8,6,3,6,4,15
S01007018,Turriff - 02,Aberdeenshire,936,,7,4,9,5,8,6,8,7,9,8,13,5,9,13,13,17,13,16,10,7,5,9,12,9,9,7,10,6,7,11,6,13,6,11,8,3,7,12,9,7,7,2,8,5,12,22,7,20,16,14,10,17,9,11,14,22,13,17,16,16,17,14,11,11,8,11,20,12,14,9,11,10,21,22,7,10,16,10,14,5,8,6,6,7,10,7,4,5,4,3,11
S01007019,Turriff - 03,Aberdeenshire,652,,2,2,8,8,3,7,4,7,7,7,8,2,4,2,4,1,5,10,3,3,13,0,2,6,8,8,9,11,14,12,12,2,12,8,12,4,4,14,5,6,14,7,8,5,10,7,4,7,7,8,7,7,7,9,8,12,15,11,7,9,11,7,5,12,5,12,11,13,11,12,9,6,10,7,7,6,8,7,8,7,8,10,9,2,0,1,7,2,4,4,3
S01007020,Turriff - 04,Aberdeenshire,697,,6,10,6,7,4,7,6,7,4,8,8,5,7,4,4,3,2,6,4,4,5,5,2,11,13,6,5,13,7,10,2,4,12,8,9,2,7,8,7,5,16,12,13,15,14,13,10,7,12,13,17,10,10,7,13,10,5,6,8,15,9,8,7,5,2,7,6,8,5,6,9,14,2,9,7,6,10,5,6,10,6,7,3,3,5,11,7,6,3,4,22
S01007021,Turriff - 05,Aberdeenshire,809,,10,4,13,9,8,13,9,10,15,3,11,9,10,7,8,10,9,6,14,10,4,5,8,7,10,9,3,7,8,7,6,19,4,15,13,8,10,10,6,8,2,11,10,13,7,10,9,10,8,13,16,13,11,14,8,11,11,13,11,4,6,10,12,12,6,15,9,9,8,11,9,13,6,16,3,11,11,7,5,10,10,6,9,7,3,4,1,4,3,4,9
S01007022,Turriff - 06,Aberdeenshire,506,,4,3,8,5,4,9,7,6,12,12,8,11,7,8,9,4,7,5,4,6,6,5,6,4,5,0,4,3,3,4,4,8,3,7,4,4,5,4,5,7,2,6,3,13,5,5,4,9,12,8,13,6,15,5,8,5,5,3,6,7,1,3,3,2,6,8,5,7,2,9,10,10,7,9,4,7,6,4,2,4,4,1,2,3,5,4,3,1,0,0,4
S01007023,"Portsoy, Fordyce and Cornhill - 01",Aberdeenshire,465,,3,3,4,6,7,4,3,11,5,7,10,5,6,2,4,2,6,5,6,8,3,3,7,4,7,2,2,4,4,6,5,2,5,5,3,4,4,2,3,4,14,2,5,4,5,9,10,5,5,6,11,9,9,4,9,8,4,13,4,5,6,12,10,7,11,8,2,7,3,11,4,7,4,4,3,6,2,5,4,5,3,4,1,0,2,1,2,0,2,2,0
S01007024,"Portsoy, Fordyce and Cornhill - 02",Aberdeenshire,1014,,7,15,14,11,12,14,8,14,15,14,10,7,15,9,9,15,6,9,9,9,7,4,5,7,2,7,15,6,19,10,7,9,16,8,4,12,13,9,15,8,2,7,13,21,10,9,10,15,9,10,16,18,13,20,17,15,19,15,12,22,27,20,14,18,11,24,20,16,20,9,22,20,12,9,9,12,11,10,5,3,6,2,9,7,6,1,4,3,0,2,4
S01007025,"Portsoy, Fordyce and Cornhill - 03",Aberdeenshire,844,,11,9,9,11,9,9,3,17,9,12,13,9,5,12,11,4,10,7,8,4,6,17,7,5,10,8,9,6,5,10,14,11,13,11,8,10,6,10,11,5,5,14,5,6,12,8,8,7,10,14,7,20,13,5,9,18,13,8,10,4,15,10,15,11,12,9,19,17,21,10,15,7,11,8,4,7,16,10,10,10,8,8,2,6,4,7,2,1,3,1,5
S01007026,"Portsoy, Fordyce and Cornhill - 04",Aberdeenshire,875,,8,3,6,10,4,2,7,6,11,8,6,10,11,6,14,4,6,7,7,13,10,8,6,7,5,4,10,9,9,14,10,10,7,6,10,6,9,5,10,9,5,6,5,6,18,11,11,11,10,11,11,16,8,11,11,23,13,22,8,14,14,7,16,10,6,22,2,10,8,15,17,8,18,10,13,10,13,11,9,20,5,14,16,7,5,7,6,5,8,4,15
S01007027,Aberchirder and Whitehills - 01,Aberdeenshire,998,,5,8,6,4,5,9,8,13,17,12,21,12,22,10,10,15,14,6,9,10,13,5,11,7,6,6,6,0,11,8,12,12,7,15,10,9,12,9,12,15,15,3,20,18,6,11,15,14,14,9,9,15,13,7,22,16,12,11,15,12,19,15,13,22,12,13,18,14,15,22,20,13,17,17,13,12,9,4,9,7,10,10,4,8,4,5,5,2,0,1,6
S01007028,Aberchirder and Whitehills - 02,Aberdeenshire,891,,9,15,9,11,10,3,10,9,14,8,8,8,2,13,4,7,12,15,10,5,2,5,7,5,13,11,11,9,17,13,15,9,13,9,5,7,8,13,4,7,8,10,6,10,9,8,9,15,9,14,6,9,16,10,12,12,16,13,16,10,15,5,7,20,17,16,9,11,24,13,19,21,20,11,12,11,11,9,5,7,5,6,6,5,6,4,4,5,0,1,3
S01007029,Aberchirder and Whitehills - 03,Aberdeenshire,540,,4,6,4,4,6,6,5,4,8,10,4,8,7,5,12,7,5,5,6,5,6,6,3,2,3,3,4,7,4,4,3,5,4,3,4,2,6,8,5,3,5,9,9,4,6,9,3,13,11,8,5,7,16,9,8,19,12,12,10,16,6,8,8,11,5,4,7,3,9,5,3,6,3,6,13,9,7,2,3,6,1,6,1,1,0,2,3,1,0,0,4
S01007030,Aberchirder and Whitehills - 04,Aberdeenshire,744,,4,7,11,6,8,2,7,7,11,10,16,10,12,7,6,8,4,8,10,8,7,12,12,10,7,6,4,8,9,6,4,4,2,9,7,5,7,7,11,5,5,7,12,10,9,13,13,9,11,8,8,16,11,8,14,9,10,9,5,7,9,14,5,14,9,9,9,14,8,19,17,11,6,7,7,13,14,7,10,14,3,4,0,6,4,1,0,3,2,2,5
S01007031,Aberchirder and Whitehills - 05,Aberdeenshire,605,,4,4,15,8,6,9,7,4,8,14,13,2,6,10,7,3,4,3,5,1,3,5,9,7,12,7,5,5,6,1,9,9,6,7,5,7,4,7,9,6,7,9,8,6,8,6,9,10,9,9,6,3,8,13,10,10,8,10,10,8,10,11,17,10,6,7,4,10,2,14,11,8,8,5,5,4,6,7,3,8,3,4,1,1,1,1,1,3,1,1,3
S01007032,Banff - 01,Aberdeenshire,979,,13,9,3,5,2,10,9,10,7,4,9,6,5,6,7,12,10,8,14,9,8,10,13,18,10,21,9,11,12,11,9,15,11,15,11,8,19,12,10,9,12,17,7,11,13,15,10,17,19,7,27,5,6,22,15,13,15,17,15,11,17,11,12,13,9,6,10,17,19,16,17,18,8,5,14,19,7,13,8,9,10,3,5,9,4,5,7,3,1,5,5
S01007033,Banff - 02,Aberdeenshire,731,,12,12,9,5,9,13,8,10,11,8,5,6,8,7,7,7,5,10,2,10,14,5,6,5,7,19,10,9,12,10,11,12,5,7,8,7,8,6,11,7,8,7,3,6,11,6,12,12,15,10,15,13,9,13,9,4,8,11,9,7,8,5,11,9,18,14,3,5,14,10,16,8,10,6,12,10,2,2,6,9,4,3,3,5,0,1,2,0,0,3,1
S01007034,Banff - 03,Aberdeenshire,604,,8,4,4,2,8,8,4,11,2,3,9,2,8,9,4,4,11,11,10,10,9,7,10,6,11,11,7,5,3,10,7,6,15,2,12,0,10,9,6,5,8,6,10,4,10,11,9,11,5,9,6,14,4,16,4,10,4,11,6,5,4,6,6,13,3,8,9,8,7,7,12,13,7,3,3,0,7,1,5,3,2,3,7,1,3,4,1,4,4,0,4
S01007035,Banff - 04,Aberdeenshire,842,,17,12,12,16,11,7,10,19,5,5,11,10,6,9,7,9,12,8,10,7,12,6,16,7,13,12,12,7,19,9,14,18,16,21,8,14,9,6,5,8,8,8,9,5,12,10,8,1,16,11,10,16,12,13,7,8,5,10,13,9,9,3,15,11,7,11,9,7,8,10,12,14,9,6,6,5,11,5,12,3,4,6,8,4,8,5,5,0,1,0,2
S01007036,Banff - 05,Aberdeenshire,978,,5,8,9,9,6,11,7,11,10,7,11,5,6,15,8,13,9,18,3,13,15,14,7,8,5,10,11,9,9,9,10,1,6,4,8,5,10,17,3,13,8,7,9,11,12,10,13,13,14,10,13,17,8,15,22,22,20,18,19,7,10,16,13,13,12,6,14,11,21,17,10,16,9,11,12,9,9,6,8,9,11,9,10,11,13,9,11,8,5,5,28
S01007037,Macduff - 01,Aberdeenshire,906,,11,10,11,5,8,6,6,12,8,11,8,1,11,4,6,11,13,10,13,6,14,10,13,13,11,11,11,16,11,13,3,12,12,21,12,6,9,12,9,12,9,7,9,15,10,15,15,14,16,7,12,12,26,22,9,19,10,16,13,14,11,8,12,7,6,6,5,10,8,16,7,12,12,10,13,16,11,12,9,6,8,8,2,6,2,2,2,4,0,1,2
S01007038,Macduff - 02,Aberdeenshire,653,,3,4,4,2,5,8,8,5,12,13,3,7,3,9,7,8,10,4,16,11,11,8,3,2,12,3,13,4,14,16,4,11,2,4,11,7,7,5,9,11,8,6,6,1,9,3,9,9,12,8,12,18,12,13,9,15,18,10,9,2,9,7,14,12,10,6,6,6,5,13,9,11,6,3,3,6,8,3,1,1,3,6,4,0,1,2,5,2,0,1,2
S01007039,Macduff - 03,Aberdeenshire,1000,,11,12,8,16,14,13,22,12,11,17,10,16,20,14,6,13,11,12,13,9,13,4,12,15,15,11,6,4,13,10,5,11,18,12,16,13,11,10,11,14,22,14,13,14,8,13,11,28,23,11,22,13,13,13,18,9,14,13,7,14,11,11,11,11,12,3,11,8,10,7,16,13,9,5,7,12,10,2,12,3,8,5,5,1,1,5,1,8,2,1,2
S01007040,Macduff - 04,Aberdeenshire,592,,5,7,6,3,7,3,15,2,12,13,7,7,6,7,9,6,5,5,6,3,6,5,7,7,4,6,9,7,14,6,11,3,5,3,9,9,6,8,7,1,2,7,8,6,3,0,8,6,11,10,12,15,5,6,13,12,13,5,5,14,9,9,11,5,8,11,4,8,6,8,5,4,4,4,6,7,6,6,1,5,7,3,8,2,4,5,1,0,4,3,0
S01007041,Macduff - 05,Aberdeenshire,718,,9,12,2,6,8,13,10,6,9,1,5,1,6,3,12,7,5,8,10,8,8,12,8,8,13,8,7,5,9,11,6,5,3,6,10,12,9,9,9,7,7,1,7,8,5,13,14,14,14,8,11,18,17,11,7,14,4,12,12,18,10,8,12,15,12,10,10,12,9,6,9,8,8,2,1,5,5,10,6,3,6,3,7,4,3,4,2,0,1,0,6
S01007042,Gardenstown and King Edward - 01,Aberdeenshire,758,,8,7,3,5,10,11,7,12,8,13,7,16,7,13,5,11,7,13,5,10,5,4,13,15,10,7,2,3,5,3,14,8,16,5,12,4,13,8,14,9,14,10,13,12,10,9,14,14,9,15,15,16,11,18,10,7,6,8,10,10,10,4,9,4,7,8,13,4,8,7,12,13,9,8,7,5,7,7,2,6,0,4,3,5,3,1,3,0,0,2,8
S01007043,Gardenstown and King Edward - 02,Aberdeenshire,1014,,8,11,7,4,5,13,11,11,11,15,13,20,9,13,18,13,7,9,10,11,11,8,8,10,2,3,3,4,6,14,5,1,4,4,2,4,13,12,19,16,12,11,21,21,6,13,10,17,22,17,14,20,20,19,17,17,16,18,16,21,10,14,19,13,31,17,14,15,18,20,9,19,11,12,7,10,3,6,4,7,2,3,5,2,3,7,3,7,1,3,23
S01007044,Gardenstown and King Edward - 03,Aberdeenshire,563,,6,5,3,1,3,2,3,1,5,5,8,3,2,2,4,6,4,5,5,2,4,8,4,6,7,6,9,4,8,4,9,4,4,4,1,3,1,6,1,2,2,0,2,3,2,8,9,8,12,6,8,10,19,2,18,17,11,11,9,7,6,12,11,12,13,8,11,11,3,8,8,11,12,5,8,8,10,8,5,6,9,6,11,1,3,3,5,5,5,2,3
S01007045,Gardenstown and King Edward - 04,Aberdeenshire,800,,1,7,7,9,9,8,5,4,14,11,7,9,5,6,12,11,5,9,3,6,3,4,4,2,7,1,8,6,6,7,1,16,3,12,10,2,12,6,4,11,8,10,16,11,11,11,14,14,7,16,12,12,14,9,15,15,11,13,13,16,13,23,16,18,9,17,19,11,16,19,19,12,9,13,9,10,8,4,5,4,2,4,6,3,0,1,2,2,1,0,4
S01007046,New Pitsligo - 01,Aberdeenshire,549,,8,4,2,4,6,10,9,7,8,4,9,0,5,4,1,9,7,4,9,3,3,5,3,7,3,6,7,1,4,4,5,4,3,2,10,5,5,5,4,7,9,6,7,5,8,8,12,9,8,12,12,16,8,13,7,11,5,13,10,5,12,13,5,11,12,10,9,5,4,11,9,4,6,7,5,5,5,3,3,2,2,3,3,5,1,1,0,2,0,0,1
S01007047,New Pitsligo - 02,Aberdeenshire,641,,6,3,4,6,5,4,5,3,2,10,6,9,12,8,2,13,11,9,12,4,3,5,6,7,2,13,5,5,4,3,5,9,2,9,5,9,6,6,3,4,6,6,8,9,7,8,10,17,9,20,13,17,19,9,21,12,9,5,4,7,8,12,8,9,8,12,10,9,15,11,6,3,13,4,4,2,7,5,6,7,2,4,4,1,0,1,0,0,0,3,6
S01007048,New Pitsligo - 03,Aberdeenshire,849,,9,3,7,6,10,6,2,6,9,6,4,14,15,11,10,10,6,7,6,4,7,4,6,13,11,6,15,9,9,6,16,9,6,11,12,5,8,10,10,9,5,3,9,6,7,12,10,15,12,19,29,10,12,24,15,15,22,16,12,13,20,12,12,17,11,15,5,8,14,12,7,17,9,13,13,5,9,13,8,0,7,6,3,2,3,2,1,0,2,3,1
S01007049,New Pitsligo - 04,Aberdeenshire,926,,10,6,12,13,16,16,10,20,15,16,17,12,7,13,11,10,13,14,10,8,10,8,9,8,4,6,14,14,6,11,7,2,7,19,7,13,6,4,11,20,8,7,8,19,17,10,20,9,13,20,9,9,16,19,15,11,12,8,11,21,14,9,13,6,20,6,8,12,11,15,9,10,13,13,5,9,8,4,9,8,4,8,4,0,3,3,1,1,2,1,0
S01007050,Deer and Mormond - 01,Aberdeenshire,609,,9,4,4,7,7,6,3,8,5,7,8,8,12,5,6,9,2,5,0,3,4,4,6,10,2,7,0,9,7,6,6,6,12,18,5,5,6,5,10,8,7,10,6,3,7,5,13,12,9,10,6,6,15,11,7,12,15,5,5,8,12,8,7,7,6,5,3,8,8,8,12,9,10,12,1,6,9,4,9,7,6,3,4,5,4,2,3,2,0,2,1
S01007051,Deer and Mormond - 02,Aberdeenshire,796,,10,3,14,7,8,9,8,11,12,4,2,10,9,7,9,12,9,4,6,9,5,7,14,1,5,14,5,17,11,9,21,16,14,14,15,11,8,6,8,12,8,1,11,7,11,18,16,12,10,9,15,11,13,1,10,11,15,5,7,21,12,6,19,7,10,8,5,4,7,10,8,10,7,4,10,14,8,7,7,9,9,7,2,1,1,2,2,4,1,0,7
S01007052,Deer and Mormond - 03,Aberdeenshire,857,,11,18,11,11,8,14,11,15,9,14,6,9,6,7,4,12,11,8,7,18,7,7,14,7,8,8,9,14,14,11,9,20,15,13,9,16,11,6,15,7,15,6,5,15,17,14,4,15,20,15,12,16,11,15,17,7,12,22,6,13,9,6,15,9,6,7,8,14,6,8,6,9,5,4,9,8,7,7,6,7,1,3,4,1,2,2,1,0,0,0,0
S01007053,Deer and Mormond - 04,Aberdeenshire,544,,4,9,6,6,8,8,5,4,1,9,7,6,7,13,1,7,10,7,8,7,10,6,3,5,4,3,7,5,10,3,7,6,4,6,1,6,8,16,8,5,6,8,4,7,8,7,9,9,10,6,7,8,4,10,7,11,11,5,11,6,7,8,9,5,8,0,8,7,9,9,5,9,2,8,3,6,8,1,5,5,2,1,0,2,0,2,0,3,1,0,1
S01007054,Deer and Mormond - 05,Aberdeenshire,1002,,9,15,12,9,9,10,9,15,12,10,8,11,11,10,7,11,10,9,14,9,9,15,17,15,12,19,9,15,13,14,13,8,8,17,10,13,11,9,15,9,8,16,13,16,10,11,10,13,18,10,19,13,15,12,15,19,11,4,8,16,8,8,11,16,9,16,10,10,9,15,14,14,13,9,14,8,14,8,12,9,3,5,4,7,4,3,6,5,0,5,15
S01007055,Deer and Mormond - 06,Aberdeenshire,605,,11,1,11,10,6,7,6,7,8,3,1,3,8,6,7,7,8,6,6,6,10,4,10,2,6,10,13,4,7,7,17,12,7,3,6,2,4,5,4,7,3,13,4,15,8,5,11,11,8,11,8,10,10,8,12,10,11,7,7,10,8,7,10,8,14,9,8,5,7,11,8,6,8,3,7,2,2,4,5,4,5,2,3,2,0,1,0,2,2,0,2
S01007056,Deer and Mormond - 07,Aberdeenshire,651,,7,6,4,4,7,10,4,9,5,6,9,6,4,13,5,5,6,18,6,7,3,6,2,6,13,6,3,7,4,7,6,5,5,7,9,12,14,7,8,5,8,7,9,7,3,10,3,7,20,17,4,10,20,8,15,14,4,14,10,12,10,8,9,13,4,8,6,9,10,6,4,2,4,3,5,4,3,2,3,2,5,4,1,1,3,4,6,6,2,7,19
