"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area name,Council area,All ages,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,
,,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006514,"Cults, Bieldside and Milltimber West - 02",Aberdeen City,"1,153",,5,8,17,10,9,8,16,18,10,14,22,15,6,19,19,29,14,24,11,12,5,20,12,15,18,18,17,15,10,13,6,16,13,11,16,16,8,23,20,12,10,12,12,10,10,17,13,21,17,22,21,18,13,21,17,11,19,15,15,11,15,13,13,11,13,12,6,5,11,3,7,13,14,7,8,15,11,8,4,9,6,4,6,2,3,4,5,8,5,5,32
S01006515,"Cults, Bieldside and Milltimber West - 03",Aberdeen City,817,,4,6,3,6,8,7,14,9,7,18,14,14,11,16,12,9,13,20,16,7,13,3,9,6,2,8,10,10,10,6,12,6,8,4,3,3,5,17,8,10,10,15,12,4,9,20,11,22,14,16,14,15,25,17,6,16,8,17,12,11,8,10,12,10,16,5,9,9,17,7,5,4,11,2,6,8,1,5,3,7,3,5,3,2,1,0,2,0,1,0,4
S01006516,"Cults, Bieldside and Milltimber West - 04",Aberdeen City,664,,3,4,3,4,5,8,4,10,6,5,8,9,8,11,7,4,8,22,11,13,15,17,10,7,6,16,8,15,8,7,6,8,4,1,6,12,11,4,5,1,13,6,7,7,7,12,7,14,10,6,8,11,13,17,9,8,6,5,2,9,9,9,8,5,9,10,9,3,8,4,8,11,5,3,6,6,5,5,3,4,10,5,3,4,1,1,4,2,2,0,5
S01006517,"Cults, Bieldside and Milltimber West - 05",Aberdeen City,"1,147",,10,8,10,18,16,5,17,14,9,20,16,18,19,15,23,14,9,21,9,9,9,6,4,8,12,14,10,19,14,11,10,8,11,17,7,20,7,14,11,11,21,11,16,21,14,16,13,12,5,23,19,16,7,14,21,33,24,18,24,16,17,16,18,8,13,17,21,18,14,15,13,11,14,10,7,14,12,6,6,3,5,6,3,4,1,1,4,2,3,6,12
S01006518,"Cults, Bieldside and Milltimber East - 01",Aberdeen City,673,,5,3,4,8,4,11,2,9,6,11,11,6,5,16,11,14,13,10,3,8,2,3,4,2,3,6,3,7,3,3,1,2,3,7,5,5,13,16,7,7,4,4,7,7,5,3,14,7,7,12,7,12,8,12,11,19,16,13,5,15,16,9,11,6,10,9,16,16,8,8,5,9,9,7,12,5,11,9,7,4,6,4,3,1,7,2,0,3,6,3,1
S01006519,"Cults, Bieldside and Milltimber East - 02",Aberdeen City,935,,1,5,8,8,8,14,18,11,15,18,19,13,12,24,18,10,17,18,8,10,2,8,14,10,8,8,5,6,12,5,4,3,5,15,5,6,4,6,8,12,16,13,11,17,22,9,11,14,15,13,17,25,15,14,12,15,18,14,8,11,13,7,20,19,11,9,9,11,9,8,9,16,7,4,12,11,13,2,7,3,4,2,3,0,3,3,1,1,7,1,19
S01006520,"Cults, Bieldside and Milltimber East - 03",Aberdeen City,834,,5,5,12,13,13,10,10,9,19,16,17,28,15,24,17,13,17,16,9,7,13,5,6,7,3,2,9,5,5,11,3,2,7,6,7,4,7,12,11,7,18,10,16,18,15,31,13,15,20,15,21,23,12,12,19,12,11,19,16,12,7,4,7,5,7,6,5,3,3,6,3,9,3,5,2,5,3,7,0,0,1,2,1,1,1,1,0,1,0,0,1
S01006521,"Cults, Bieldside and Milltimber East - 04",Aberdeen City,784,,4,5,7,9,12,9,18,13,20,8,7,11,14,11,14,23,5,6,8,1,4,6,3,1,10,3,9,7,13,5,13,5,6,6,14,5,12,17,7,13,7,11,10,16,16,18,13,4,12,19,9,16,17,20,11,21,12,14,9,11,11,4,7,13,14,8,9,5,12,12,7,7,6,5,2,3,3,3,5,3,4,1,3,1,0,0,1,0,2,1,2
S01006522,"Cults, Bieldside and Milltimber East - 05",Aberdeen City,684,,5,8,15,9,13,12,13,13,10,10,13,2,14,9,10,5,10,6,4,2,2,8,4,15,2,6,10,5,7,5,2,6,9,9,7,14,5,9,8,12,13,6,13,10,4,7,19,10,7,7,11,13,9,11,8,15,7,10,15,11,9,12,9,7,8,10,10,5,6,8,6,4,5,1,6,5,3,4,3,2,5,5,2,1,3,3,2,1,2,1,2
S01006523,"Cults, Bieldside and Milltimber East - 06",Aberdeen City,956,,8,10,8,7,13,7,12,11,16,12,9,12,13,11,5,16,13,10,15,3,3,6,7,12,7,15,9,10,7,12,15,13,12,4,13,11,7,12,12,3,7,10,15,11,10,16,16,8,15,10,15,11,19,16,6,13,17,17,18,13,20,18,17,11,7,12,13,6,11,11,7,14,15,7,7,6,11,6,10,5,15,7,6,10,5,4,6,8,2,6,9
S01006524,"Cults, Bieldside and Milltimber East - 07",Aberdeen City,"1,071",,4,6,15,10,10,7,9,16,13,9,7,10,8,13,11,8,6,15,8,12,10,17,10,9,16,18,21,21,11,17,12,16,12,10,1,11,10,14,11,3,17,17,15,15,13,11,17,13,13,8,9,18,15,22,10,10,14,16,18,12,11,8,18,10,17,13,13,10,9,16,9,12,6,12,5,11,10,4,6,13,14,15,5,13,6,1,10,9,10,8,37
S01006525,"Cults, Bieldside and Milltimber East - 08",Aberdeen City,889,,2,3,8,6,8,10,16,11,22,7,11,15,13,9,16,7,9,12,8,10,3,8,8,8,3,5,13,11,10,7,5,5,6,10,10,4,17,7,8,16,11,7,11,14,12,11,22,11,13,22,12,13,13,11,7,12,9,9,10,13,14,4,8,12,9,7,11,12,10,7,12,12,6,12,8,13,9,7,10,5,8,6,8,15,5,5,8,12,4,5,15
S01006526,Garthdee - 01,Aberdeen City,920,,9,9,10,7,5,9,3,10,1,11,8,7,9,6,2,4,5,6,7,9,17,27,34,25,19,6,23,16,23,33,17,21,34,16,25,20,13,18,9,13,7,11,10,12,16,5,14,8,1,0,14,8,4,6,5,16,11,9,16,8,13,11,6,14,3,8,8,1,7,6,3,5,9,1,8,3,7,5,4,8,3,3,5,9,4,9,10,7,6,3,4
S01006527,Garthdee - 02,Aberdeen City,763,,14,11,8,9,10,9,13,7,9,7,14,9,12,13,8,6,9,6,10,7,12,12,9,10,12,7,10,10,15,3,25,16,9,10,7,12,11,18,10,14,9,9,10,12,3,15,7,11,10,10,18,14,10,9,7,10,12,12,12,6,8,5,5,8,11,7,7,4,5,2,4,10,4,6,1,4,3,2,4,4,4,2,2,4,1,2,2,0,3,2,8
S01006528,Garthdee - 03,Aberdeen City,"1,178",,14,10,17,14,9,10,14,15,11,14,14,8,13,12,9,9,11,10,5,24,34,38,19,29,37,15,34,45,15,35,36,38,26,18,17,27,20,21,15,17,28,15,7,8,5,12,0,14,6,6,11,16,8,15,8,12,7,14,7,4,9,5,12,10,9,10,7,12,4,7,7,3,1,8,7,6,10,9,12,5,7,12,6,2,4,3,3,0,2,0,4
S01006529,Garthdee - 04,Aberdeen City,968,,13,10,4,11,10,9,5,1,14,6,8,12,1,7,5,6,4,5,8,7,13,20,27,32,19,31,20,26,37,23,15,19,32,24,15,24,29,17,12,15,7,14,12,6,8,19,5,14,3,9,14,8,6,11,9,14,2,13,12,1,16,4,9,12,11,6,5,13,7,10,6,10,6,10,5,8,2,3,2,5,6,4,3,3,3,3,1,4,3,4,1
S01006530,Garthdee - 05,Aberdeen City,785,,5,8,6,4,7,9,9,6,13,7,7,6,7,3,7,10,6,11,4,8,8,21,23,17,4,9,34,19,6,21,18,12,29,12,16,21,17,14,6,7,1,13,7,7,7,7,10,8,5,11,14,8,2,3,4,14,10,10,10,11,11,10,17,3,5,6,7,13,7,9,4,6,5,5,3,5,3,6,4,5,3,5,4,3,1,2,1,1,4,5,3
S01006531,Garthdee - 06,Aberdeen City,924,,10,8,12,12,8,7,7,6,4,4,7,4,10,5,8,13,7,7,11,12,12,21,21,8,21,11,16,23,31,31,22,21,16,20,14,19,16,7,4,21,12,9,7,12,13,3,14,8,9,10,15,14,6,14,13,4,5,14,9,6,13,5,7,8,11,3,15,13,9,10,8,12,7,9,1,7,3,5,4,7,6,7,7,8,4,4,7,3,3,2,2
S01006532,"Braeside, Mannofield, Broomhill and Seafield East - 01",Aberdeen City,780,,2,8,4,6,5,9,3,8,8,4,8,8,7,10,3,6,6,4,6,3,5,4,4,8,6,1,14,22,12,9,12,6,13,3,12,12,6,7,14,12,4,18,4,11,11,12,16,11,3,9,11,14,5,13,5,8,9,11,9,6,8,6,6,8,7,12,3,11,5,9,6,16,4,6,10,9,13,8,16,6,6,7,7,5,12,10,3,3,8,6,54
